Time(ms),Target Voltage(mV),Applied Voltage(mV),Current(uA)
1108,0,0,0
1160,2.44,15,27.69
1212,4.88,15,-3.96
1264,7.32,15,-3.37
1316,9.76,15,-3.96
1368,12.2,15,-3.08
1420,14.64,15,-3.08
1472,17.08,17.08,-2.49
1524,19.52,19.52,-3.22
1576,21.96,21.96,-1.9
1628,24.4,24.39,-1.9
1680,26.84,26.84,-2.64
1732,29.28,29.28,-1.32
1784,31.72,31.72,-0.29
1836,34.16,34.15,-0.29
1888,36.6,36.59,-2.05
1940,39.04,39.04,-1.47
1992,41.48,41.47,-1.9
2044,43.92,43.92,-0.73
2096,46.36,46.35,0.88
2148,48.8,48.79,0.15
2200,51.24,51.24,0.73
2252,53.68,53.67,1.17
2304,56.12,56.1,2.49
2356,58.56,58.55,2.2
2408,61,60.99,2.64
2460,63.44,63.44,2.93
2512,65.88,65.87,8.64
2564,68.32,68.3,8.64
2616,70.76,70.75,1.32
2668,73.2,73.17,1.76
2720,75.64,75.62,3.52
2772,78.08,78.07,2.93
2824,80.52,80.49,4.54
2876,82.96,82.94,2.49
2928,85.4,85.39,4.25
2980,87.84,87.84,4.54
3032,90.28,90.26,4.69
3084,92.72,92.71,5.27
3136,95.16,95.16,5.27
3188,97.6,97.57,5.42
3240,100.04,100.02,6.01
3292,102.48,102.47,6.59
3344,104.92,104.89,6.74
3396,107.36,107.34,6.74
3448,109.8,109.79,7.91
3500,112.24,112.21,6.89
3552,114.68,114.66,8.06
3604,117.12,117.11,8.35
3656,119.56,119.56,8.06
3708,122,121.98,8.5
3760,124.44,124.42,9.08
3812,126.88,126.87,9.67
3864,129.32,129.29,11.58
3916,131.76,131.74,13.04
3968,134.2,134.18,13.04
4020,136.64,136.59,8.35
4072,139.08,139.06,10.84
4124,141.52,141.48,9.96
4176,143.96,143.94,10.7
4228,146.4,146.36,11.28
4280,148.84,148.83,11.43
4332,151.28,151.24,12.31
4384,153.72,153.71,12.16
4436,156.16,156.13,11.58
4488,158.6,158.59,12.89
4540,161.04,161.01,12.31
4592,163.48,163.48,13.04
4644,165.92,165.89,12.45
4696,168.36,168.31,13.04
4748,170.8,170.78,14.07
4800,173.24,173.2,14.07
4852,175.68,175.66,14.8
4904,178.12,178.08,15.09
4956,180.56,180.55,14.95
5008,183,182.96,15.24
5060,185.44,185.43,15.09
5112,187.88,187.85,16.56
5164,190.32,190.31,15.24
5216,192.76,192.73,15.53
5268,195.2,195.2,18.32
5320,197.64,197.61,20.37
5372,200.08,200.05,20.37
5424,202.52,202.5,17.44
5476,204.96,204.95,17.73
5528,207.4,207.4,16.56
5580,209.84,209.78,18.17
5632,212.28,212.23,17.58
5684,214.72,214.68,17
5736,217.16,217.13,19.05
5788,219.6,219.58,19.05
5840,222.04,222.03,18.75
5892,224.48,224.42,19.78
5944,226.92,226.87,20.07
5996,229.36,229.32,20.37
6048,231.8,231.77,20.37
6100,234.24,234.22,20.95
6152,236.68,236.67,20.07
6204,239.12,239.12,21.25
6256,241.56,241.5,21.39
6308,244,243.95,21.68
6360,246.44,246.4,22.56
6412,248.88,248.85,20.81
6464,251.32,251.3,22.86
6516,253.76,253.75,22.86
6568,256.2,256.2,22.86
6620,258.64,258.58,22.71
6672,261.08,261.03,25.35
6724,263.52,263.48,25.93
6776,265.96,265.93,25.93
6828,268.4,268.35,22.86
6880,270.84,270.77,23.15
6932,273.28,273.27,25.35
6984,275.72,275.68,24.76
7036,278.16,278.1,24.76
7088,280.6,280.52,25.64
7140,283.04,283.02,26.37
7192,285.48,285.44,25.2
7244,287.92,287.85,25.2
7296,290.36,290.35,25.93
7348,292.8,292.77,26.81
7400,295.24,295.19,26.81
7452,297.68,297.6,27.4
7504,300.12,300.1,27.25
7556,302.56,302.52,27.55
7608,305,304.94,29.01
7660,307.44,307.44,27.99
7712,309.88,309.85,28.28
7764,312.32,312.27,28.57
7816,314.76,314.69,28.86
7868,317.2,317.19,29.01
7920,319.64,319.6,28.72
7972,322.08,322.02,29.3
8024,324.52,324.52,30.92
8076,326.96,326.94,31.21
8128,329.4,329.36,31.5
8180,331.84,331.79,31.5
8232,334.28,334.21,30.48
8284,336.72,336.62,31.21
8336,339.16,339.14,31.79
8388,341.6,341.56,30.77
8440,344.04,343.97,31.79
8492,346.48,346.39,31.94
8544,348.92,348.91,32.23
8596,351.36,351.32,32.97
8648,353.8,353.74,33.7
8700,356.24,356.16,33.26
8752,358.68,358.67,33.26
8804,361.12,361.09,34.29
8856,363.56,363.51,34.14
8908,366,365.93,35.16
8960,368.44,368.44,35.16
9012,370.88,370.86,34.14
9064,373.32,373.27,34.58
9116,375.76,375.69,36.19
9168,378.2,378.11,36.34
9220,380.64,380.62,36.34
9272,383.08,383.04,36.19
9324,385.52,385.46,36.63
9376,387.96,387.88,36.48
9428,390.4,390.39,38.53
9480,392.84,392.81,38.1
9532,395.28,395.23,37.66
9584,397.72,397.69,37.66
9636,400.16,400.06,38.1
9688,402.6,402.54,38.68
9740,405.04,405.03,38.1
9792,407.48,407.39,38.83
9844,409.92,409.88,39.12
9896,412.36,412.36,40.29
9948,414.8,414.73,38.97
10000,417.24,417.21,39.27
10052,419.68,419.58,39.12
10104,422.12,422.06,40
10156,424.56,424.54,40.29
10208,427,426.91,41.61
10260,429.44,429.39,41.61
10312,431.88,431.88,40.15
10364,434.32,434.25,40.88
10416,436.76,436.73,41.47
10468,439.2,439.1,42.2
10520,441.64,441.58,43.08
10572,444.08,444.06,42.78
10624,446.52,446.43,42.64
10676,448.96,448.91,42.34
10728,451.4,451.39,43.81
10780,453.84,453.76,44.54
10832,456.28,456.25,45.13
10884,458.72,458.62,45.27
10936,461.16,461.1,44.98
10988,463.6,463.53,44.98
11040,466.04,465.98,44.25
11092,468.48,468.43,44.98
11144,470.92,470.88,46.01
11196,473.36,473.33,45.57
11248,475.8,475.78,46.3
11300,478.24,478.23,45.27
11352,480.68,480.68,46.59
11404,483.12,483,47.18
11456,485.56,485.45,47.33
11508,488,487.9,47.47
11560,490.44,490.35,47.91
11612,492.88,492.8,47.47
11664,495.32,495.25,47.33
11716,497.76,497.7,47.47
11768,500.2,500.15,48.79
11820,502.64,502.6,48.94
11872,505.08,505.05,49.08
11924,507.52,507.5,49.82
11976,509.96,509.95,49.38
12028,512.4,512.4,48.94
12080,514.84,514.72,49.52
12132,517.28,517.17,51.14
12184,519.72,519.62,51.87
12236,522.16,522.07,52.01
12288,524.6,524.52,52.45
12340,527.04,526.97,51.72
12392,529.48,529.45,51.72
12444,531.92,531.92,52.31
12496,534.36,534.24,51.72
12548,536.8,536.7,51.87
12600,539.24,539.17,52.01
12652,541.68,541.64,52.45
12704,544.12,544.1,53.48
12756,546.56,546.42,53.77
12808,549,548.89,54.21
12860,551.44,551.35,54.36
12912,553.88,553.82,53.63
12964,556.32,556.29,54.36
13016,558.76,558.75,54.21
13068,561.2,561.07,55.09
13120,563.64,563.54,55.53
13172,566.08,566,55.97
13224,568.52,568.47,56.12
13276,570.96,570.94,55.68
13328,573.4,573.26,55.97
13380,575.84,575.72,56.12
13432,578.28,578.19,56.56
13484,580.72,580.65,57
13536,583.16,583.12,57.44
13588,585.6,585.59,58.75
13640,588.04,587.91,58.46
13692,590.48,590.37,58.32
13744,592.92,592.84,59.05
13796,595.36,595.21,59.05
13848,597.8,597.79,58.17
13900,600.24,600.21,58.9
13952,602.68,602.62,58.46
14004,605.12,605.04,60.07
14056,607.56,607.46,59.34
14108,610,609.88,60.37
14160,612.44,612.29,60.81
14212,614.88,614.87,60.81
14264,617.32,617.29,60.95
14316,619.76,619.71,60.51
14368,622.2,622.12,60.95
14420,624.64,624.54,61.39
14472,627.08,626.96,62.42
14524,629.52,629.38,62.86
14576,631.96,631.96,63.15
14628,634.4,634.37,62.71
14680,636.84,636.79,62.86
14732,639.28,639.21,63.59
14784,641.72,641.63,63.44
14836,644.16,644.04,63.59
14888,646.6,646.46,64.62
14940,649.04,649.04,65.49
14992,651.48,651.46,65.93
15044,653.92,653.88,66.67
15096,656.36,656.29,65.93
15148,658.8,658.71,65.79
15200,661.24,661.11,65.79
15252,663.68,663.59,65.79
15304,666.12,666.08,65.2
15356,668.56,668.56,66.67
15408,671,670.86,67.11
15460,673.44,673.35,66.23
15512,675.88,675.83,67.4
15564,678.32,678.31,66.81
15616,680.76,680.61,67.25
15668,683.2,683.1,67.84
15720,685.64,685.58,68.13
15772,688.08,688.06,68.72
15824,690.52,690.36,68.57
15876,692.96,692.85,68.86
15928,695.4,695.33,69.16
15980,697.84,697.81,69.74
16032,700.28,700.12,69.6
16084,702.72,702.6,69.6
16136,705.16,705.08,69.3
16188,707.6,707.56,69.89
16240,710.04,709.87,70.62
16292,712.48,712.35,70.62
16344,714.92,714.83,71.79
16396,717.36,717.31,72.38
16448,719.8,719.79,71.5
16500,722.24,722.1,72.82
16552,724.68,724.58,73.11
16604,727.12,727.02,73.11
16656,729.56,729.53,73.55
16708,732,731.85,72.67
16760,734.44,734.36,73.41
16812,736.88,736.88,74.14
16864,739.32,739.2,73.85
16916,741.76,741.71,73.7
16968,744.2,744.04,74.29
17020,746.64,746.55,75.02
17072,749.08,749.06,74.87
17124,751.52,751.38,74.87
17176,753.96,753.9,75.31
17228,756.4,756.22,76.48
17280,758.84,758.73,75.75
17332,761.28,761.25,75.9
17384,763.72,763.57,76.19
17436,766.16,766.08,76.04
17488,768.6,768.6,76.78
17540,771.04,770.92,77.07
17592,773.48,773.43,77.51
17644,775.92,775.75,78.1
17696,778.36,778.27,78.24
17748,780.8,780.78,78.68
17800,783.24,783.1,79.56
17852,785.68,785.62,78.83
17904,788.12,787.94,79.12
17956,790.56,790.45,80.15
18008,790.56,790.45,79.56
18060,788.12,787.94,79.41
18112,785.68,785.62,79.12
18164,783.24,783.1,78.97
18216,780.8,780.78,78.1
18268,778.36,778.27,77.36
18320,775.92,775.75,78.1
18372,773.48,773.43,76.63
18424,771.04,770.92,76.19
18476,768.6,768.6,76.19
18528,766.16,766.08,76.34
18580,763.72,763.57,76.19
18632,761.28,761.25,78.24
18684,758.84,758.73,76.04
18736,756.4,756.22,75.31
18788,753.96,753.9,75.9
18840,751.52,751.38,75.75
18892,749.08,749.06,75.75
18944,746.64,746.55,74.14
18996,744.2,744.04,73.41
19048,741.76,741.71,73.41
19100,739.32,739.2,73.85
19152,736.88,736.88,73.26
19204,734.44,734.36,73.11
19256,732,731.85,73.26
19308,729.56,729.53,73.26
19360,727.12,727.02,73.41
19412,724.68,724.58,73.41
19464,722.24,722.1,72.82
19516,719.8,719.79,72.67
19568,717.36,717.31,71.5
19620,714.92,714.83,71.21
19672,712.48,712.35,70.62
19724,710.04,709.87,70.92
19776,707.6,707.56,70.48
19828,705.16,705.08,69.01
19880,702.72,702.6,69.01
19932,700.28,700.12,69.01
19984,697.84,697.81,68.86
20036,695.4,695.33,68.57
20088,692.96,692.85,69.45
20140,690.52,690.36,68.57
20192,688.08,688.06,68.13
20244,685.64,685.58,67.84
20296,683.2,683.1,67.25
20348,680.76,680.61,67.55
20400,678.32,678.31,67.11
20452,675.88,675.83,66.81
20504,673.44,673.35,67.4
20556,671,670.86,66.52
20608,668.56,668.56,66.08
20660,666.12,666.08,66.37
20712,663.68,663.59,65.2
20764,661.24,661.11,64.91
20816,658.8,658.71,64.91
20868,656.36,656.29,65.64
20920,653.92,653.88,65.79
20972,651.48,651.46,65.35
21024,649.04,649.04,64.91
21076,646.6,646.46,63.44
21128,644.16,644.04,63.88
21180,641.72,641.63,63.44
21232,639.28,639.21,62.42
21284,636.84,636.79,62.27
21336,634.4,634.37,62.71
21388,631.96,631.96,62.86
21440,629.52,629.38,62.86
21492,627.08,626.96,62.12
21544,624.64,624.54,61.39
21596,622.2,622.12,61.54
21648,619.76,619.71,60.81
21700,617.32,617.29,60.66
21752,614.88,614.87,60.51
21804,612.44,612.29,59.93
21856,610,609.88,59.49
21908,607.56,607.46,60.22
21960,605.12,605.04,59.49
22012,602.68,602.62,59.05
22064,600.24,600.21,58.32
22116,597.8,597.79,58.17
22168,595.36,595.21,59.05
22220,592.92,592.84,59.05
22272,590.48,590.37,59.19
22324,588.04,587.91,58.46
22376,585.6,585.59,58.17
22428,583.16,583.12,58.02
22480,580.72,580.65,57
22532,578.28,578.19,56.85
22584,575.84,575.72,55.82
22636,573.4,573.26,55.97
22688,570.96,570.94,56.26
22740,568.52,568.47,56.12
22792,566.08,566,56.26
22844,563.64,563.54,55.53
22896,561.2,561.07,55.09
22948,558.76,558.75,53.92
23000,556.32,556.29,54.65
23052,553.88,553.82,53.92
23104,551.44,551.35,53.19
23156,549,548.89,54.8
23208,546.56,546.42,53.48
23260,544.12,544.1,52.89
23312,541.68,541.64,51.87
23364,539.24,539.17,52.31
23416,536.8,536.7,52.45
23468,534.36,534.24,51.72
23520,531.92,531.92,52.01
23572,529.48,529.45,51.28
23624,527.04,526.97,51.28
23676,524.6,524.52,51.87
23728,522.16,522.07,50.84
23780,519.72,519.62,51.28
23832,517.28,517.17,50.55
23884,514.84,514.72,48.64
23936,512.4,512.4,49.23
23988,509.96,509.95,48.79
24040,507.52,507.5,48.94
24092,505.08,505.05,49.67
24144,502.64,502.6,49.82
24196,500.2,500.15,48.79
24248,497.76,497.7,46.59
24300,495.32,495.25,47.62
24352,492.88,492.8,46.89
24404,490.44,490.35,47.62
24456,488,487.9,48.06
24508,485.56,485.45,47.33
24560,483.12,483,46.89
24612,480.68,480.68,46.59
24664,478.24,478.23,45.86
24716,475.8,475.78,45.42
24768,473.36,473.33,44.98
24820,470.92,470.88,45.71
24872,468.48,468.43,45.57
24924,466.04,465.98,44.54
24976,463.6,463.53,44.4
25028,461.16,461.1,44.4
25080,458.72,458.62,44.98
25132,456.28,456.25,44.84
25184,453.84,453.76,43.37
25236,451.4,451.39,43.22
25288,448.96,448.91,42.64
25340,446.52,446.43,41.76
25392,444.08,444.06,42.49
25444,441.64,441.58,43.37
25496,439.2,439.1,42.2
25548,436.76,436.73,42.05
25600,434.32,434.25,41.17
25652,431.88,431.88,40.44
25704,429.44,429.39,41.03
25756,427,426.91,41.61
25808,424.56,424.54,40.88
25860,422.12,422.06,40.29
25912,419.68,419.58,38.83
25964,417.24,417.21,38.39
26016,414.8,414.73,40.15
26068,412.36,412.36,39.12
26120,409.92,409.88,38.53
26172,407.48,407.39,37.66
26224,405.04,405.03,37.22
26276,402.6,402.54,37.51
26328,400.16,400.06,38.1
26380,397.72,397.69,37.95
26432,395.28,395.23,37.95
26484,392.84,392.81,38.1
26536,390.4,390.39,37.95
26588,387.96,387.88,37.07
26640,385.52,385.46,36.34
26692,383.08,383.04,35.6
26744,380.64,380.62,35.16
26796,378.2,378.11,35.75
26848,375.76,375.69,35.9
26900,373.32,373.27,35.46
26952,370.88,370.86,34.73
27004,368.44,368.44,33.99
27056,366,365.93,34.58
27108,363.56,363.51,34.43
27160,361.12,361.09,33.99
27212,358.68,358.67,32.38
27264,356.24,356.16,32.67
27316,353.8,353.74,32.23
27368,351.36,351.32,33.26
27420,348.92,348.91,31.65
27472,346.48,346.39,31.36
27524,344.04,343.97,31.79
27576,341.6,341.56,31.06
27628,339.16,339.14,32.38
27680,336.72,336.62,30.92
27732,334.28,334.21,30.48
27784,331.84,331.79,30.62
27836,329.4,329.36,30.62
27888,326.96,326.94,30.92
27940,324.52,324.52,29.45
27992,322.08,322.02,29.89
28044,319.64,319.6,29.6
28096,317.2,317.19,29.3
28148,314.76,314.69,30.04
28200,312.32,312.27,28.86
28252,309.88,309.85,28.57
28304,307.44,307.44,28.86
28356,305,304.94,28.42
28408,302.56,302.52,27.84
28460,300.12,300.1,26.96
28512,297.68,297.6,26.81
28564,295.24,295.19,26.81
28616,292.8,292.77,27.11
28668,290.36,290.35,25.93
28720,287.92,287.85,25.49
28772,285.48,285.44,26.08
28824,283.04,283.02,25.79
28876,280.6,280.52,24.47
28928,278.16,278.1,25.05
28980,275.72,275.68,25.35
29032,273.28,273.27,25.05
29084,270.84,270.77,24.62
29136,268.4,268.35,24.03
29188,265.96,265.93,23.44
29240,263.52,263.48,23.44
29292,261.08,261.03,24.18
29344,258.64,258.58,23.88
29396,256.2,256.2,21.68
29448,253.76,253.75,22.86
29500,251.32,251.3,23.44
29552,248.88,248.85,21.98
29604,246.44,246.4,21.1
29656,244,243.95,21.98
29708,241.56,241.5,21.68
